
2024/03/12 (10:21:37) | ===> btop++ v.1.3.2
2024/03/12 (10:21:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/02 (09:05:56) | ===> btop++ v.1.3.2
2024/05/02 (09:05:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/02 (09:15:09) | ===> btop++ v.1.3.2
2024/05/02 (09:15:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/02 (09:31:44) | ===> btop++ v.1.3.2
2024/05/02 (09:31:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/13 (00:28:27) | ===> btop++ v.1.3.2
2024/05/13 (00:28:27) | WARNING: Failed to set locale UTF-8 continuing anyway.
